City,State,Location
COLCHESTER,Vermont,44.5439N 73.1479W
HOULTON,Maine,46.1262N 67.8402W
TAUNTON,Massachusetts,41.9001N 71.0898W
UPTON,New York,40.8682N 72.8792W
GRAYS,South Carolina,32.6738N 81.0204W
PEACHTREE CITY,Georgia,33.3969N 84.5963W
NEW BRAUNFELS,Texas,29.7026N 98.1241W
ALABASTER,Alabama,33.2443N 86.8164W
SANTA TERESA,New Mexico,31.8559N 106.6392W
DICKINSON,Texas,29.4608N 95.0513W
BOCA CHICA KEY,Florida,24.5736N 81.6857W
MORRISTOWN,Tennessee,36.2140N 83.2949W
NORTH LITTLE ROCK,Arkansas,34.7695N 92.2671W
LAKE CHARLES,Louisiana,30.2266N 93.2174W
OLD HICKORY,Tennessee,36.2575N 86.6478W
MELBOURNE,Florida,28.0836N 80.6081W
MILLINGTON,Tennessee,35.3415N 89.8973W
HYTOP,Alabama,34.9162N 86.0880W
RUSKIN,Florida,27.7209N 82.4331W
SAN ANGELO,Texas,31.4638N 100.4370W
INOLA,Oklahoma,36.1512N 95.5094W
CHAFFEE RIDGE,Arkansas,35.2931N 94.2308W
SLIDELL,Louisiana,30.2752N 89.7812W
BRANDON,Mississippi,32.2789N 90.0014W
YUMA,Arizona,32.6927N 114.6277W
LOS GATOS,California,37.2358N 121.9624W
HANFORD,California,36.3275N 119.6457W
SANTA ANA MOUNTAINS,California,33.7500N 117.5425W
NIXON,Nevada,39.8319N 119.3580W
DAVIS,California,38.5449N 121.7405W
PENDLETON,Oregon,45.6721N 118.7886W
MISSOULA,Montana,46.8721N 113.9940W
MEDFORD,Oregon,42.3265N 122.8756W
FLAGSTAFF,Arizona,35.1983N 111.6513W
GLASGOW,Montana,48.1970N 106.6367W
ELKO,Nevada,40.8324N 115.7631W
EUREKA,California,40.8021N 124.1637W
GREAT FALLS,Montana,47.5053N 111.3008W
CEDAR CITY,Utah,37.6775N 113.0619W
AGANA,Guam,13.4763N 144.7502E
SOUTH BURLINGTON,Vermont,44.4670N 73.1710W
FAIRBANKS,Alaska,64.8378N 147.7164W
SAN JUAN,Puerto Rico,18.4655N 66.1057W
JUNEAU,Alaska,58.3019N 134.4197W
PAGO PAGO,American Samoa,14.2710S 170.1322W
ST THOMAS,Virgin Islands,18.3381N 64.8941W
